ACCIDENT_NO,Accident_Date_Time,NO_PERSONS_KILLED,Light_Condition_Desc,Light_Condition_Category
T20150000004,2015-01-01 02:10:00,0,Dark Street lights on,Dark Street lights on
T20150000005,2015-01-01 00:31:00,0,Dark Street lights on,Dark Street lights on
T20150000008,2015-01-01 00:10:00,1,Dark No street lights,Dark Street no lights
T20150000011,2015-01-01 01:15:00,0,Dark No street lights,Dark Street no lights
T20150000014,2015-01-01 07:30:00,0,Day,Day
T20150000017,2015-01-01 07:20:00,0,Day,Day
T20150000020,2015-01-01 06:51:00,1,Dusk/Dawn,Others
T20150000021,2015-01-01 11:15:00,0,Day,Day
T20150000028,2015-01-01 07:55:00,0,Day,Day
T20150000031,2015-01-01 16:25:00,0,Day,Day
T20150000034,2015-01-01 17:10:00,0,Day,Day
T20150000035,2015-01-01 18:20:00,0,Day,Day
T20150000037,2015-01-01 19:00:00,0,Dusk/Dawn,Others
T20150000039,2015-01-01 20:00:00,0,Dusk/Dawn,Others
T20150000041,2015-01-01 19:30:00,0,Dusk/Dawn,Others
T20150000042,2015-01-01 12:00:00,0,Day,Day
T20150000043,2015-01-01 19:30:00,0,Dusk/Dawn,Others
T20150000050,2015-01-01 04:00:00,0,Dark No street lights,Dark Street no lights
T20150000052,2015-01-01 01:20:00,0,Dark Street lights on,Dark Street lights on
T20150000056,2015-02-01 03:00:00,0,Dark Street lights off,Dark Street no lights
T20150000057,2015-01-01 04:47:00,0,Dark Street lights on,Dark Street lights on
T20150000060,2015-02-01 07:30:00,0,Day,Day
T20150000063,2015-02-01 08:30:00,0,Day,Day
T20150000067,2015-01-01 18:10:00,0,Day,Day
T20150000072,2015-01-01 21:15:00,0,Dark Street lights on,Dark Street lights on
T20150000075,2015-02-01 12:05:00,0,Day,Day
T20150000076,2015-02-01 09:55:00,0,Day,Day
T20150000084,2015-02-01 12:50:00,0,Day,Day
T20150000087,2015-02-01 15:00:00,0,Day,Day
T20150000088,2015-02-01 13:50:00,0,Day,Day
T20150000093,2015-02-01 12:05:00,0,Unknown,Others
T20150000096,2015-02-01 16:55:00,0,Day,Day
T20150000098,2015-02-01 16:15:00,0,Day,Day
T20150000100,2015-02-01 19:30:00,0,Dusk/Dawn,Others
