ACCIDENT_NO,Lat,Long,POSTCODE_NO,NODE_ID
T20150000004,-37.77922923,144.9309415,3032,280946.0
T20150000005,-38.09563165,144.347208,3214,280297.0
T20150000008,-36.37231313,145.03511,3620,279836.0
T20150000011,-38.39672763,142.7538796,3277,289290.0
T20150000014,-35.22176583,143.4587417,3590,281042.0
T20150000017,-37.88240078,145.0903658,3148,282822.0
T20150000020,-37.92909811,145.0028103,3186,286438.0
T20150000021,-37.98464933,146.0858338,3831,280397.0
T20150000028,-37.76758102,144.8002374,3022,356777.0
T20150000031,-38.25053925,146.5179082,3840,280699.0
T20150000034,-37.72427767,144.7529804,3023,281842.0
T20150000035,-38.10808406,147.4733359,3851,248367.0
T20150000037,-37.83040808,145.1362987,3128,39371.0
T20150000039,-36.01501913,146.0099602,3730,58445.0
T20150000041,-38.42132035,143.5442808,3249,280618.0
T20150000042,-38.17062999,144.3914422,3219,266135.0
T20150000043,-37.70052539,145.1953208,3095,281058.0
T20150000050,-35.97158906,144.5027304,3562,282267.0
T20150000052,-37.76316596,144.7897546,3023,57165.0
T20150000056,-38.22037972,145.7982984,3818,280530.0
T20150000057,-37.81320339,144.9667516,3000,280469.0
T20150000060,-37.34104142,144.1559614,3460,22476.0
T20150000063,-37.73123259,142.0188735,3300,50505.0
T20150000067,-38.11077182,144.6419289,3223,280320.0
T20150000072,-37.68368884,144.9182927,3047,35577.0
T20150000075,-37.90636903,145.0087259,3187,226245.0
T20150000076,-38.62639011,146.0138208,3958,280612.0
T20150000084,-37.97330906,145.1198141,3172,35610.0
T20150000087,-38.17005959,144.4266606,3224,356779.0
T20150000088,-37.77761848,145.3808357,3796,281971.0
T20150000093,-37.81254531,144.9651824,3000,36940.0
T20150000096,-37.84314893,144.9780647,3004,281773.0
T20150000098,-37.94760856,143.866821,3329,290587.0
T20150000100,-38.03647962,145.1151898,3196,281407.0
T20150000101,-37.8044877,144.943224,3003,36087.0
T20150000103,-38.07889007,145.2715799,3977,280377.0
T20150000105,-36.60362586,144.1288947,3556,19662.0
T20150000106,-36.38556974,143.9755888,3517,280562.0
T20150000110,-37.80519356,144.9851193,3066,280614.0
T20150000113,-38.07605178,145.2445333,3975,280441.0
T20150000114,-36.3957236,145.3527162,3629,356782.0
T20150000116,-37.84378902,145.0315387,3144,40291.0
T20150000118,-37.84912128,144.951368,3206,29456.0
T20150000119,-37.6461535,145.0939896,3752,237030.0
T20150000120,-37.91488949,144.7135352,3030,281132.0
T20150000124,-38.15440517,145.9503402,3820,239202.0
T20150000125,-37.01567443,145.7904994,3715,288561.0
T20150000127,-38.10853338,144.3399894,3214,288799.0
T20150000128,-37.78745871,145.2733518,3136,39748.0
T20150000131,-37.05269188,146.0912945,3722,60053.0
T20150000133,-38.1409028,145.202934,3910,280892.0
T20150000134,-37.70266134,144.9447667,3046,280324.0
T20150000135,-37.85662045,145.029287,3144,590.0
T20150000136,-38.00625477,145.2733448,3803,29726.0
T20150000140,-37.5892372,143.79231,3351,281982.0
T20150000142,-37.79706766,145.3595791,3765,356781.0
T20150000143,-36.38088293,145.4060278,3630,51052.0
T20150000146,-37.91614764,145.1401443,3168,234609.0
T20150000148,-37.63924969,145.0563163,3076,61153.0
T20150000150,-38.02524594,145.3052928,3805,29746.0
T20150000151,-37.63994465,144.8807137,3059,44209.0
T20150000152,-37.8093366,145.0195449,3101,37366.0
T20150000153,-36.94698086,146.2019122,3723,280401.0
T20150000154,-38.35553045,144.0384617,3241,290204.0
T20150000155,-36.16768302,146.5877504,3683,281004.0
T20150000156,-37.81550739,145.1034205,3127,280598.0
T20150000157,-37.77317526,144.9330108,3032,286449.0
T20150000159,-37.68620097,144.4304431,3340,49577.0
T20150000160,-36.49665034,146.0194492,3672,280928.0
T20150000161,-37.78589988,144.7910987,3020,280455.0
T20150000163,-37.59280479,143.8359198,3356,53006.0
T20150000164,-37.88557658,145.2968876,3156,68523.0
T20150000165,-38.4103988,145.0309209,3916,280582.0
T20150000166,-38.74550254,143.2522005,3237,280884.0
T20150000168,-37.82276884,147.6812018,3875,51944.0
T20150000170,-38.04762049,145.3408142,3806,280553.0
T20150000171,-37.80262943,144.9250001,3003,280489.0
T20150000172,-37.81998928,144.9613729,3000,66159.0
T20150000173,-38.15600408,145.9019468,3820,280724.0
T20150000175,-38.15414546,144.3472009,3220,286670.0
T20150000176,-38.08229191,145.2765902,3977,43857.0
T20150000182,-37.91589675,145.0181182,3187,69389.0
T20150000184,-37.71679679,145.1468131,3095,280359.0
T20150000186,-37.76342345,145.1665781,3109,35429.0
T20150000187,-37.95926345,145.2068385,3175,42644.0
T20150000188,-37.80936237,145.2393837,3134,280361.0
T20150000190,-38.01304223,146.0040432,3831,281648.0
T20150000191,-38.01270631,145.159242,3173,35628.0
T20150000192,-37.45624214,145.0710788,3757,280337.0
T20150000198,-37.847777,144.8133157,3018,280719.0
T20150000201,-37.74324373,144.9258793,3040,280459.0
T20150000202,-37.6667156,144.9494212,3061,45262.0
T20150000203,-38.00989984,145.09309,3195,280352.0
T20150000206,-37.77634988,144.828849,3020,280958.0
T20150000208,-37.83092043,145.0527894,3123,40406.0
T20150000210,-37.67606789,144.8562204,3045,298074.0
T20150000215,-37.78988489,144.9730009,3054,281182.0
T20150000216,-37.42626014,144.6497099,3431,287360.0
T20150000217,-37.56299846,145.9066316,3779,280491.0
T20150000219,-38.10587022,145.2811418,3977,280986.0
T20150000220,-37.63536088,145.0043898,3076,288528.0
T20150000221,-37.8259891,144.8809601,3015,29858.0
T20150000223,-36.50534117,143.7459591,3517,280570.0
T20150000224,-37.81033995,144.8080025,3020,282005.0
T20150000225,-37.88809656,145.4910691,3782,280487.0
T20150000227,-37.80721505,144.9923108,3067,280367.0
T20150000231,-37.8193552,145.0585909,3123,280373.0
T20150000234,-37.63574057,142.5643301,3293,282235.0
T20150000239,-37.99045571,145.1417479,3172,70723.0
T20150000241,-37.94261932,145.2017709,3175,281786.0
T20150000250,-37.80940402,144.97214,3000,36985.0
T20150000252,-37.7990673,145.0497614,3102,280613.0
T20150000256,-37.87833129,145.0798371,3145,45834.0
T20150000257,-37.59775304,144.9314921,3064,296069.0
T20150000258,-36.04300009,146.4315307,3685,281734.0
T20150000262,-38.38452233,142.6193199,3277,287398.0
T20150000263,-37.87319787,145.2478311,3152,29626.0
T20150000264,-37.75786201,144.791337,3023,35855.0
T20150000266,-37.92356456,145.199021,3150,36284.0
T20150000270,-37.8150933,144.9679015,3000,280540.0
T20150000271,-37.72931006,144.7941198,3021,286882.0
T20150000275,-37.63715173,144.9322529,3064,282426.0
T20150000276,-37.95418073,145.1503099,3171,280481.0
T20150000279,-37.95148566,145.1485362,3171,42485.0
T20150000281,-37.56671979,143.8583483,3350,280464.0
T20150000283,-37.52828066,147.1207111,3862,280521.0
T20150000284,-37.82380229,145.0792511,3126,39159.0
T20150000287,-38.04766764,145.265,3976,282308.0
T20150000288,-37.82566021,147.6391926,3875,280802.0
T20150000290,-37.70023045,145.0104941,3073,280407.0
T20150000296,-37.77557546,145.476791,3139,282061.0
T20150000298,-37.78076047,144.8469345,3019,280436.0
T20150000299,-37.81336988,144.9683604,3000,280450.0
T20150000303,-36.36839402,145.4158081,3630,49365.0
T20150000304,-37.60845374,145.0944958,3754,278464.0
T20150000306,-37.82191227,145.0293817,3122,38909.0
T20150000308,-38.14813503,144.3349633,3220,280420.0
T20150000309,-37.88477669,145.0045706,3185,280589.0
T20150000310,-37.66722773,144.9551013,3061,221411.0
T20150000313,-37.70393947,145.0167242,3073,44411.0
T20150000314,-37.73159076,145.0188903,3072,44420.0
T20150000318,-37.71585938,144.8935185,3041,191882.0
T20150000320,-37.83307718,144.9690187,3205,280449.0
T20150000321,-37.79173163,145.3143222,3137,39821.0
T20150000325,-35.94469,145.1089118,3639,280475.0
T20150000327,-37.92131119,145.1737838,3170,286342.0
T20150000331,-36.1025917,146.8255651,3690,53566.0
T20150000335,-37.73727733,144.5746366,3338,602913.0
T20150000336,-37.76710167,144.7597234,3023,280440.0
T20150000337,-38.15402864,145.485423,3981,280419.0
T20150000339,-37.85356796,145.0059404,3181,200388.0
T20150000340,-37.80631947,144.9477892,3003,292165.0
T20150000342,-37.78604004,145.3295503,3138,280754.0
T20150000344,-36.85711918,144.2247582,3453,280729.0
T20150000345,-38.12306989,145.1246187,3198,280593.0
T20150000349,-37.41675928,143.3339666,3373,357577.0
T20150000350,-38.17269672,145.1167118,3199,281881.0
T20150000351,-37.73994888,142.0181726,3300,288197.0
T20150000352,-38.03729707,144.417407,3212,280422.0
T20150000353,-38.01357011,145.3092709,3805,280601.0
T20150000356,-38.00107959,145.1917662,3173,280418.0
T20150000358,-37.98661458,145.1092499,3172,841.0
T20150000361,-36.40176102,145.4799814,3631,53418.0
T20150000362,-37.83520945,144.9964854,3141,280476.0
T20150000363,-38.38709011,142.4988398,3280,280882.0
T20150000364,-38.15940019,145.2433713,3977,280596.0
T20150000365,-37.88770865,146.9426,3859,280522.0
T20150000369,-37.68568442,144.5834368,3337,61708.0
T20150000376,-34.23141728,142.1658857,3498,52542.0
T20150000381,-37.83456503,144.9744464,3004,282306.0
T20150000382,-37.81059961,145.0606467,3101,280745.0
T20150000383,-38.15293848,144.3723455,3219,29947.0
T20150000384,-37.87956553,145.0696756,3145,41482.0
T20150000385,-37.96969586,145.2235229,3175,356786.0
T20150000386,-38.15577062,144.351041,3220,357139.0
T20150000387,-37.84021701,145.4261363,3795,43823.0
T20150000388,-38.36117012,144.88542,3940,281196.0
T20150000389,-37.88100673,145.0959585,3148,29659.0
T20150000391,-37.82548402,144.8407806,3025,282866.0
T20150000392,-37.20151017,145.4662602,3717,280759.0
T20150000393,-37.9139733,145.1218763,3168,35560.0
T20150000396,-37.75994041,144.9555999,3056,288391.0
T20150000397,-38.77491324,143.6125294,3233,282796.0
T20150000400,-38.0419011,145.2915879,3805,280472.0
T20150000401,-37.75998768,145.0795098,3105,280447.0
T20150000402,-38.35127348,144.7472593,3943,73534.0
T20150000403,-37.62100861,144.7157718,3427,280712.0
T20150000404,-37.92238997,145.0827698,3165,280504.0
T20150000406,-36.79084137,145.0881726,3608,59850.0
T20150000407,-37.80403938,144.9584689,3000,83.0
T20150000409,-38.07769494,145.2397256,3975,1013.0
T20150000411,-37.75215622,144.8298356,3021,244395.0
T20150000414,-38.3848644,142.58719,3277,158693.0
T20150000415,-38.1273845,144.3500146,3214,281660.0
T20150000416,-38.34408852,143.5798003,3250,281937.0
T20150000417,-37.69968718,145.1076997,3088,35683.0
T20150000418,-37.903729,145.1637986,3150,41804.0
T20150000420,-37.83029942,145.1736554,3131,280444.0
T20150000421,-37.7284876,145.1018414,3085,242439.0
T20150000424,-38.17086273,144.3024554,3216,280497.0
T20150000430,-37.79113412,144.8082993,3020,290052.0
T20150000432,-37.7284876,145.1018414,3085,242439.0
T20150000438,-37.75127566,144.9741913,3058,356785.0
T20150000439,-37.89582402,145.1439252,3149,41740.0
T20150000441,-38.18459006,144.6430706,3222,280483.0
T20150000448,-37.89774028,145.3135988,3156,280473.0
T20150000449,-38.26833071,141.6219439,3305,282147.0
T20150000450,-38.2750102,144.4929097,3227,73218.0
T20150000451,-37.75844181,145.3479129,3140,38478.0
T20150000453,-37.82231976,144.9696708,3004,288119.0
T20150000454,-38.00847387,145.2358972,3175,282571.0
T20150000455,-37.8430737,145.1212755,3125,282810.0
T20150000458,-37.70418337,148.4907592,3888,280605.0
T20150000459,-37.57857286,144.6977695,3429,280543.0
T20150000460,-38.11110196,145.283252,3977,35843.0
T20150000462,-37.73393908,144.9246236,3041,357138.0
T20150000464,-37.8872594,145.369817,3789,280552.0
T20150000465,-37.8952,145.2145976,3179,280715.0
T20150000466,-38.0512837,144.3850093,3212,280748.0
T20150000467,-37.8874004,145.1644036,3150,274883.0
T20150000468,-37.01523733,144.8215857,3662,356787.0
T20150000469,-37.83096396,144.8174804,3025,36600.0
T20150000471,-37.79784575,144.8813818,3011,38657.0
T20150000474,-37.86809428,145.0209565,3161,40252.0
T20150000475,-38.11924986,145.1907001,3977,282240.0
T20150000477,-36.05870058,146.4284893,3685,247275.0
T20150000479,-37.83755437,144.7246233,3029,278518.0
T20150000482,-37.81073923,145.0023355,3067,296.0
T20150000483,-38.07939764,144.2374411,3331,280495.0
T20150000484,-37.85727195,145.1289396,3125,280600.0
T20150000485,-37.88834246,145.0812101,3145,221537.0
T20150000486,-37.88292416,145.2969847,3156,41962.0
T20150000487,-37.74754646,144.9250704,3040,45405.0
T20150000491,-37.73614551,145.0287139,3072,44510.0
T20150000492,-37.8390373,144.7048765,3029,280494.0
T20150000493,-37.33913019,143.10788,3375,282500.0
T20150000494,-37.75972027,144.9261825,3039,282068.0
T20150000496,-37.83117227,145.3276583,3137,262695.0
T20150000497,-37.74412108,148.5145483,3888,280604.0
T20150000498,-37.75531112,144.9173945,3040,225952.0
T20150000499,-37.80981454,145.2389032,3134,39668.0
T20150000501,-37.66224012,145.05233,3082,281224.0
T20150000503,-37.74355998,144.6507598,3335,280492.0
T20150000505,-37.74717447,144.8245041,3021,45010.0
T20150000506,-37.70848022,144.8868497,3043,280563.0
T20150000507,-37.84832544,145.0775408,3124,280498.0
T20150000510,-37.80151527,144.9148541,3003,38815.0
T20150000511,-37.56108276,143.874926,3350,281797.0
T20150000514,-37.8518826,145.1323942,3125,40713.0
T20150000516,-37.81772654,144.9664984,3000,280732.0
T20150000517,-37.91247346,145.2524451,3178,41895.0
T20150000521,-37.93588643,145.1784427,3170,36373.0
T20150000525,-37.91142991,146.6176478,3825,282939.0
T20150000526,-37.88939256,145.0235895,3162,68624.0
T20150000527,-37.99012119,145.2145365,3175,868.0
T20150000528,-37.7587979,145.1267628,3106,280599.0
T20150000529,-37.80171887,144.9574033,3000,45686.0
T20150000532,-37.87450923,144.2524006,3340,281206.0
T20150000538,-37.91706267,145.353837,3160,42000.0
T20150000542,-37.86463123,144.985873,3182,32340.0
T20150000543,-37.80605815,145.2778757,3136,39762.0
T20150000546,-37.77035622,144.8864563,3032,239572.0
T20150000547,-37.72739054,144.5735495,3338,357140.0
T20150000548,-37.97815755,145.2574104,3802,43154.0
T20150000549,-37.86792902,145.1117028,3147,40653.0
T20150000552,-38.10388426,147.0251289,3850,281791.0
T20150000554,-37.51211926,145.1184101,3757,286219.0
T20150000560,-38.20161332,146.4219286,3840,280567.0
T20150000563,-37.83862517,145.2710825,3153,638.0
T20150000566,-38.03492049,145.1063637,3196,48518.0
T20150000567,-37.91145097,145.1640087,3170,201668.0
T20150000568,-37.59724094,144.9252053,3064,57835.0
T20150000572,-37.90620571,145.0075813,3186,295673.0
T20150000573,-38.0066868,145.1018486,3195,282101.0
T20150000580,-36.80284976,144.1601123,3551,53423.0
T20150000581,-37.90052425,145.0446902,3163,29647.0
T20150000583,-37.8528368,144.732755,3027,357141.0
T20150000584,-37.71880339,145.1164142,3094,280803.0
T20150000589,-37.81629573,144.8874195,3013,38732.0
T20150000590,-38.50012885,145.4614686,3991,50414.0
T20150000591,-37.80074287,144.9669242,3053,102.0
T20150000592,-37.82770431,144.9612721,3006,280735.0
T20150000595,-37.73499044,144.6709038,3335,44196.0
T20150000596,-37.28527213,144.7748489,3435,280895.0
T20150000597,-37.77130033,144.7887202,3023,280551.0
T20150000598,-37.82386261,144.9831295,3004,280610.0
T20150000599,-37.90110006,145.1619296,3150,41783.0
T20150000600,-37.86588763,145.3434025,3786,282511.0
T20150000603,-37.77052,145.4271797,3139,287845.0
T20150000605,-36.81011419,144.2035993,3551,280565.0
T20150000606,-38.41029363,146.1150749,3871,280611.0
T20150000607,-38.15375216,145.1605031,3199,282186.0
T20150000609,-37.66725136,144.9547931,3061,1303.0
T20150000611,-37.87038969,145.1676275,3150,293190.0
T20150000614,-37.82732936,144.8164919,3026,281199.0
T20150000615,-37.99721512,145.2752904,3804,35849.0
T20150000616,-37.55853059,143.8615832,3350,53983.0
T20150000617,-37.56419901,143.8611875,3350,282149.0
T20150000620,-37.81037343,145.0606898,3101,39063.0
T20150000622,-37.85993592,145.0559108,3146,280578.0
T20150000627,-37.96681968,145.497321,3781,286569.0
T20150000630,-37.75594002,144.9260982,3040,1335.0
T20150000632,-37.82785039,144.8166875,3026,281063.0
T20150000633,-37.96567506,145.1788144,3174,35613.0
T20150000636,-37.7820849,145.1239897,3108,38321.0
T20150000637,-37.37185216,146.1873379,3723,281567.0
T20150000639,-37.54016433,143.8313118,3355,54305.0
T20150000640,-37.81903949,147.8223901,3902,280726.0
T20150000641,-38.02606644,145.3066842,3805,43631.0
T20150000643,-37.69884255,144.7876159,3038,37081.0
T20150000645,-37.82231814,144.7171302,3029,289686.0
T20150000646,-38.17011019,144.3479803,3216,280575.0
T20150000647,-37.94283071,145.2058441,3175,280910.0
T20150000650,-38.22384073,145.1852,3912,281051.0
T20150000651,-37.69902693,144.7500474,3037,282727.0
T20150000654,-37.21475146,145.0394724,3658,288723.0
T20150000655,-37.31415961,144.64981,3442,280890.0
T20150000658,-36.45487624,145.1139423,3616,59270.0
T20150000661,-37.6101602,145.4943897,3777,282835.0
T20150000662,-37.6463718,144.9306654,3048,280731.0
T20150000670,-38.68844351,145.9922777,3958,280751.0
T20150000672,-38.17039024,144.399132,3219,292100.0
T20150000673,-38.50335254,142.7857095,3268,279956.0
T20150000677,-36.25485,145.0055703,3621,281064.0
T20150000682,-37.66831927,145.1887744,3096,280918.0
T20150000683,-38.37343126,142.4625533,3280,50673.0
T20150000684,-38.34252931,144.1404204,3230,280750.0
T20150000687,-37.77875347,144.9751794,3057,280801.0
T20150000688,-37.81832174,145.1728622,3131,280734.0
T20150000689,-37.82561383,144.9368704,3207,281361.0
T20150000691,-36.43359999,142.1180916,3414,279957.0
T20150000692,-37.58003038,145.489083,3777,281579.0
T20150000693,-37.83235648,145.4293735,3795,43824.0
T20150000698,-37.82171005,144.3964402,3340,288576.0
T20150000699,-38.11028164,145.2599379,3977,280752.0
T20150000700,-38.24380115,144.2913798,3217,281450.0
T20150000701,-37.90188346,145.3297998,3158,36186.0
T20150000702,-38.03658877,145.1148661,3196,43233.0
T20150000704,-37.72681012,144.8908513,3042,280917.0
T20150000711,-36.83142156,145.3957906,3665,291067.0
T20150000713,-37.87097613,144.8239684,3018,280794.0
T20150000714,-37.67686892,145.2061025,3097,280795.0
T20150000716,-37.73499044,144.6709038,3335,44196.0
T20150000718,-38.19241947,145.1496266,3199,288127.0
T20150000721,-37.77055075,144.7962071,3022,286779.0
T20150000725,-37.7969094,145.2809358,3136,270088.0
T20150000726,-37.85673754,145.0301805,3144,280747.0
T20150000727,-37.92795037,141.2701309,3304,281097.0
T20150000729,-36.15543764,146.6242376,3683,280814.0
T20150000730,-38.08591075,145.1831546,3201,246851.0
T20150000731,-36.58840908,146.4500836,3678,281297.0
T20150000734,-37.8943066,145.4228199,3793,205927.0
T20150000735,-37.82662808,144.9723797,3004,29881.0
T20150000737,-37.86502995,145.3185799,3154,289274.0
T20150000739,-37.58250429,144.7390797,3429,43707.0
T20150000740,-38.35327422,144.9140923,3939,246201.0
T20150000743,-37.96316545,145.0373773,3192,42706.0
T20150000746,-37.8185403,144.9326512,3008,282243.0
T20150000749,-37.87162971,144.6838007,3029,288740.0
T20150000751,-38.41330074,144.9890829,3928,281258.0
T20150000754,-37.80945535,145.1773739,3131,280798.0
T20150000760,-36.56243858,146.0144589,3672,280925.0
T20150000761,-37.7359555,144.982907,3058,29738.0
T20150000762,-34.20158964,142.1527296,3500,281091.0
T20150000763,-37.86999041,145.2609712,3156,280870.0
T20150000765,-37.74252646,144.7368307,3023,281920.0
T20150000767,-38.02340921,145.2105102,3175,280889.0
T20150000768,-37.90640367,145.185,3150,356789.0
T20150000770,-37.85798455,144.9803938,3182,40096.0
T20150000771,-35.02137276,142.709,3546,282811.0
T20150000775,-37.98448127,145.2478681,3802,280629.0
